start_ms	end_ms	length_ms	x	y
4452020	4452279	259	543.7	370.0
4452536	4452645	109	518.8	358.0
4452664	4452885	221	477.5	360.4
4452910	4453390	480	514.0	376.0
4453588	4454188	600	480.4	372.8
4454214	4454771	557	514.6	386.9
4454815	4455243	428	283.7	378.7
4455271	4456249	978	363.9	371.3
4456450	4456617	167	513.0	350.3
4456647	4456875	228	485.2	365.3
4456905	4457077	172	509.2	377.9
4457103	4457371	268	480.6	369.5
4457402	4457666	264	502.6	374.9
4457693	4457901	208	435.2	387.3
4457925	4458224	299	484.8	376.6
4458254	4458443	189	386.7	378.1
4458482	4458853	371	456.6	381.1
4458873	4459350	477	414.9	369.0
4459375	4459530	155	380.9	378.2
4459557	4459824	267	484.6	390.9
4459833	4460043	210	496.9	372.3
4460068	4460170	102	426.3	383.9
4460224	4460368	144	139.8	428.7
4460423	4460668	245	500.7	378.8
4460694	4461596	902	511.8	374.5
4461613	4461763	150	468.7	384.0
4461786	4462100	314	503.5	377.8
4462116	4462246	130	475.9	372.5
4462287	4462473	186	271.1	513.7
4462492	4462595	103	303.3	483.6
4462633	4462740	107	492.6	452.8
4462759	4463015	256	506.1	412.0
4463042	4463250	208	504.7	319.0
4463259	4463434	175	500.8	297.9
4463629	4463761	132	829.1	481.0
4463777	4464003	226	796.0	462.3
4464113	4464187	74	820.9	584.0
4464255	4464394	139	295.7	559.4
4464421	4464702	281	304.7	471.3
4464715	4464944	229	289.7	472.2
4464989	4465162	173	90.2	671.9
4465185	4465446	261	55.8	714.1
4465628	4465926	298	782.5	369.2
4465962	4466088	126	574.6	351.7
4466681	4466826	145	513.1	397.0
4466850	4467068	218	501.4	328.9
4467079	4467238	159	493.8	309.8
4467283	4467414	131	154.1	408.6
4467447	4467664	217	157.9	561.0
4467696	4467821	125	112.0	569.3
4467842	4468059	217	113.8	616.9
4468080	4468470	390	119.2	674.1
