start_ms	end_ms	length_ms	x	y
811911	812500	589	576.9	399.9
812524	812767	243	526.4	388.5
812963	813112	149	499.6	380.2
813128	813650	522	510.6	375.9
813658	814509	851	507.6	376.7
814577	814778	201	213.0	425.7
814806	814986	180	192.2	495.0
815000	815242	242	201.9	521.2
815289	815442	153	495.2	500.9
815468	815635	167	586.3	429.8
815665	815937	272	693.9	448.1
815970	816261	291	803.7	438.2
816287	816566	279	699.9	449.1
816599	816864	265	846.4	449.2
816899	817143	244	998.6	419.9
817211	817378	167	626.4	602.2
817408	817564	156	562.8	593.8
817626	817838	212	84.8	737.3
817871	818041	170	31.1	767.8
818267	818361	94	-3.9	773.4
818395	818478	83	95.5	744.3
818545	818721	176	507.9	721.7
818753	818937	184	564.1	714.6
818971	819136	165	582.9	579.8
819187	819378	191	568.8	377.5
819390	819649	259	550.4	376.8
819696	819877	181	381.9	137.3
819929	820311	382	99.7	231.0
820345	820575	230	114.1	353.2
820624	820810	186	63.4	559.8
820853	821220	367	60.3	713.8
821445	821614	169	72.8	700.2
821623	822039	416	77.6	760.2
822067	822263	196	182.7	729.5
822304	822582	278	53.5	752.3
822609	822829	220	41.8	760.0
822917	823266	349	36.5	747.9
823419	823524	105	24.2	729.2
823600	823922	322	213.5	708.8
823972	824118	146	504.8	433.8
824348	824726	378	534.4	345.2
