start_ms	end_ms	length_ms	x	y
3343879	3344222	343	440.2	401.5
3344243	3344357	114	480.3	397.8
3344523	3344993	470	493.3	368.6
3345036	3345246	210	428.8	455.8
3345269	3345940	671	490.6	410.0
3346078	3346908	830	499.0	399.0
3346957	3347080	123	405.3	396.5
3347108	3347653	545	492.8	396.3
3347706	3347800	94	328.4	370.0
3347834	3347999	165	154.8	408.2
3348023	3348314	291	210.0	405.4
3348333	3348681	348	193.3	368.0
3348710	3349053	343	302.0	395.2
3349110	3349332	222	288.4	101.7
3349396	3349493	97	397.3	442.1
3349519	3349609	90	408.5	427.6
3349636	3350032	396	350.7	411.9
3350045	3350295	250	373.1	432.5
3350326	3350582	256	321.1	427.2
3350656	3350808	152	594.5	449.1
3350836	3351022	186	568.1	454.1
3351070	3351340	270	579.8	533.5
3351356	3351640	284	566.2	563.9
3351672	3351998	326	707.4	595.3
3352020	3352189	169	753.0	587.1
3352254	3352522	268	423.4	353.8
3352568	3352813	245	296.5	226.5
3352868	3353113	245	102.0	228.8
3353141	3353392	251	69.4	223.4
3353412	3354350	938	61.6	221.8
3354407	3354443	36	448.7	345.9
3354477	3354731	254	488.9	410.7
