start_ms	end_ms	length_ms	x	y
3396342	3396732	390	458.0	370.4
3396777	3397778	1001	508.2	372.5
3397806	3398477	671	504.4	368.5
3398524	3398597	73	446.1	266.5
3398679	3398749	70	425.1	244.3
3398844	3399078	234	407.4	478.8
3399145	3399321	176	433.0	282.0
3399364	3399682	318	439.9	394.0
3399730	3400125	395	370.7	440.9
3400173	3400426	253	624.2	432.6
3400479	3400606	127	712.9	583.3
3400659	3400870	211	421.1	550.8
3400917	3401014	97	359.0	572.5
3401083	3401415	332	797.6	647.6
3401477	3401679	202	644.6	310.3
3401742	3401991	249	402.9	328.7
3402035	3402218	183	629.8	350.7
3402259	3402506	247	755.2	341.1
3402595	3402897	302	396.8	357.2
3402953	3403116	163	580.8	359.3
3403155	3403365	210	706.0	362.7
3403436	3403663	227	414.3	307.9
3403736	3403858	122	115.8	483.3
3403899	3404778	879	115.2	407.5
3404791	3405106	315	112.0	414.8
3405134	3405185	51	95.7	420.0
