start_ms	end_ms	length_ms	x	y
1075128	1075456	328	490.0	344.5
1075824	1075881	57	495.6	364.0
1076211	1076518	307	514.5	375.3
1076537	1076698	161	540.1	373.0
1076718	1077270	552	506.0	382.7
1077288	1077456	168	536.6	353.4
1077479	1077562	83	503.4	377.7
1077925	1078027	102	487.2	380.6
1078082	1078242	160	181.2	364.8
1078304	1078527	223	641.6	327.4
1078563	1078829	266	791.6	259.5
1078879	1079122	243	466.4	435.9
1079155	1079292	137	480.3	302.9
1079566	1079637	71	474.8	327.9
1079681	1079984	303	202.9	347.6
1079996	1080263	267	234.4	347.8
1080282	1080482	200	171.3	385.7
1080501	1080782	281	136.2	421.0
1080820	1081080	260	341.6	363.5
1081104	1081251	147	312.3	284.4
1081297	1081391	94	220.7	333.4
1081656	1081679	23	629.1	320.0
1081707	1081959	252	751.7	394.6
1081988	1082200	212	769.1	327.1
1082219	1082447	228	741.0	308.6
1082478	1082594	116	799.1	353.8
1082620	1082935	315	744.0	478.3
1082959	1083046	87	694.6	480.0
1083305	1083367	62	304.9	394.6
1083414	1083485	71	128.3	457.5
1083767	1084258	491	154.4	349.7
1084277	1084491	214	147.4	386.6
1084504	1085487	983	134.8	422.3
