start_ms	end_ms	length_ms	x	y
3106179	3106635	456	583.4	388.1
3106653	3107097	444	552.9	411.8
3107150	3107509	359	723.4	76.0
3107569	3107955	386	1103.3	-8.8
3107999	3108639	640	1001.8	187.9
3108663	3109531	868	1024.9	157.5
3109583	3109761	178	604.3	381.5
3109785	3109928	143	536.7	384.2
3109951	3110123	172	525.6	395.0
3110285	3110427	142	535.5	424.0
3110604	3112191	1587	523.3	404.7
3112230	3112451	221	748.3	389.5
3112510	3112747	237	370.3	550.4
3112822	3113026	204	178.5	441.9
3113106	3113334	228	619.6	266.5
3113364	3113584	220	571.0	255.4
3113656	3114213	557	105.3	409.2
3114263	3114422	159	261.1	582.1
3114450	3114733	283	353.0	602.0
3114809	3114985	176	851.0	342.5
3115035	3115211	176	1038.7	153.6
3115238	3115498	260	1011.2	199.1
3115571	3115724	153	619.7	645.1
3115748	3116191	443	550.4	692.9
3116233	3116479	246	664.1	534.4
3116506	3116658	152	658.9	449.4
3116705	3117052	347	804.3	175.2
3117156	3117330	174	505.4	269.7
3117426	3117566	140	158.8	311.0
3117584	3117610	26	153.3	306.7
3117636	3117924	288	254.7	258.3
3117947	3118099	152	308.1	256.3
3118179	3118386	207	660.4	152.5
3118424	3118576	152	426.6	173.7
3118637	3118878	241	127.6	323.4
3118922	3119222	300	110.8	306.3
3119238	3119387	149	112.6	315.3
3119405	3119780	375	108.9	314.3
3119840	3120182	342	105.8	313.5
3120259	3120440	181	525.0	375.8
3120664	3120914	250	560.2	361.3
3120953	3121110	157	499.8	383.4
3121277	3121322	45	532.7	420.3
