start_ms	end_ms	length_ms	x	y
2587145	2587371	226	532.8	380.4
2587393	2587570	177	494.5	385.4
2587583	2588079	496	504.2	387.5
2588306	2588445	139	487.3	406.1
2588458	2588723	265	504.8	393.2
2588782	2588964	182	280.2	381.7
2588995	2589232	237	172.0	373.6
2589257	2589452	195	236.6	427.8
2589476	2589689	213	175.6	427.9
2589717	2589986	269	301.1	424.4
2590056	2590325	269	750.4	410.7
2590358	2590639	281	727.9	317.0
2590668	2590815	147	629.8	297.5
2590858	2591072	214	596.9	103.7
2591107	2591480	373	642.3	184.5
2591545	2591667	122	527.4	624.9
2591718	2592074	356	777.6	655.0
2592152	2592386	234	243.4	688.5
2592409	2592630	221	191.2	651.5
2592659	2593001	342	106.4	728.2
2593035	2593294	259	280.3	712.1
2593323	2593624	301	421.7	711.3
2593632	2593791	159	436.7	718.9
2593843	2594021	178	273.7	528.1
2594051	2594391	340	155.2	431.3
2594408	2594700	292	139.0	439.3
2594720	2594829	109	103.5	438.7
2595070	2595229	159	390.4	202.5
2595266	2595668	402	559.5	162.4
2595724	2595927	203	82.0	465.4
2595940	2597096	1156	100.3	433.0
2597162	2597330	168	472.2	394.1
2597651	2597975	324	479.8	382.3
