start_ms	end_ms	length_ms	x	y
348104	348545	441	424.7	383.8
348620	348846	226	41.1	405.2
348931	349576	645	470.6	392.9
349590	350368	778	481.9	391.3
350549	351190	641	476.2	396.8
351219	351488	269	490.3	342.1
351498	351650	152	482.9	367.3
351687	351930	243	489.5	234.2
351956	352150	194	452.2	222.0
352251	352352	101	882.3	190.4
352392	352648	256	949.3	183.1
352702	354116	1414	1056.4	295.9
354169	354462	293	932.7	312.1
354530	354673	143	677.2	362.8
354734	354884	150	508.7	364.3
354963	355186	223	130.3	200.7
355230	355432	202	47.8	138.2
355521	355984	463	475.6	337.9
356156	356351	195	-91.1	448.8
356417	356625	208	142.3	502.2
356643	356846	203	121.2	483.6
356868	357117	249	94.3	450.1
357151	357380	229	110.0	568.7
357421	357794	373	94.3	520.9
357813	358037	224	83.6	515.0
358058	358830	772	98.8	517.6
358871	359247	376	196.6	484.8
359310	359621	311	2.3	731.9
359690	359889	199	120.4	536.1
359915	360179	264	89.3	511.1
360215	360387	172	98.6	460.3
360423	360494	71	159.6	457.3
360561	360678	117	196.4	695.2
360698	360952	254	173.5	659.9
361019	361202	183	116.1	362.2
361233	361514	281	92.0	382.5
361535	362634	1099	79.7	372.3
362704	363190	486	469.9	383.5
363209	363424	215	426.0	390.0
363679	364050	371	493.2	364.8
