start_ms	end_ms	length_ms	x	y
644539	646160	1621	502.9	367.4
646335	646489	154	514.0	342.4
646501	646949	448	484.5	364.9
646981	647471	490	511.9	317.6
647519	648102	583	845.0	291.3
648165	648369	204	389.2	189.2
648667	648788	121	118.0	225.6
648849	649138	289	101.2	133.7
649360	649397	37	-151.6	137.2
650121	650320	199	219.1	395.1
650375	650529	154	397.8	345.8
650572	650769	197	332.6	325.9
650830	650962	132	885.7	240.2
650984	651193	209	824.3	249.2
651228	651550	322	930.8	354.6
652323	652468	145	439.3	297.8
