start_ms	end_ms	length_ms	x	y
7742973	7743308	335	427.3	377.8
7743536	7743652	116	549.9	359.6
7743676	7743961	285	499.2	384.5
7743981	7744076	95	510.0	384.7
7744272	7744517	245	495.4	355.2
7744539	7744991	452	499.2	388.3
7745007	7745847	840	506.5	383.3
7745886	7746093	207	323.5	477.2
7746131	7746338	207	513.9	515.6
7746387	7746537	150	715.6	522.5
7746585	7746815	230	698.8	279.8
7746865	7747162	297	911.2	263.5
7747181	7747414	233	884.7	293.3
7747606	7747831	225	635.2	523.2
7747881	7748115	234	372.0	523.4
7748140	7748589	449	323.5	471.8
7748623	7748850	227	394.7	483.9
7748889	7749031	142	273.8	286.5
7749187	7749419	232	218.0	277.8
7749467	7749791	324	430.2	288.1
7749836	7750018	182	615.4	304.7
7750056	7750323	267	734.8	277.3
7750336	7750634	298	753.4	272.0
7750669	7751002	333	902.6	302.7
7751064	7751156	92	429.9	426.4
7751444	7751633	189	224.3	546.6
7751663	7751829	166	112.2	606.5
7751854	7752146	292	65.0	638.2
7752163	7752556	393	40.6	637.9
7752582	7753177	595	126.2	647.5
