start_ms	end_ms	length_ms	x	y
7538811	7539062	251	542.4	395.1
7539083	7539451	368	504.5	395.2
7539483	7539613	130	536.8	392.8
7539634	7539731	97	501.7	392.0
7539901	7540140	239	517.8	369.7
7540155	7540473	318	496.1	387.4
7540706	7541365	659	502.6	385.8
7541381	7541584	203	488.0	376.7
7541600	7542489	889	505.3	378.8
7542527	7542791	264	384.0	484.7
7542813	7543045	232	354.5	532.5
7543274	7543590	316	384.8	560.1
7543638	7543822	184	506.0	539.8
7543859	7544128	269	340.2	548.8
7544148	7544632	484	347.6	499.0
7544704	7545107	403	736.3	484.3
7545157	7545368	211	914.8	448.6
7545414	7545604	190	665.4	400.1
7545646	7545860	214	729.6	170.2
7545883	7546004	121	739.9	128.4
7546070	7546372	302	166.3	461.8
7546396	7546738	342	109.9	398.4
7546782	7546901	119	312.5	515.6
7547121	7547322	201	389.7	560.3
7547356	7547652	296	458.5	478.4
7547716	7547947	231	76.6	585.3
7547974	7548202	228	131.9	652.2
7548225	7548419	194	81.7	656.0
7548443	7548713	270	31.7	646.0
7548749	7548925	176	133.5	659.1
7548952	7549224	272	58.2	624.8
