start_ms	end_ms	length_ms	x	y
6703814	6704068	254	470.1	388.0
6704094	6704365	271	525.4	396.4
6704575	6704704	129	487.1	394.3
6704724	6705277	553	518.3	403.4
6705301	6706317	1016	526.2	395.6
6706339	6706569	230	487.7	443.0
6706616	6706986	370	720.3	222.2
6707022	6707369	347	602.5	217.0
6707415	6707856	441	329.5	219.3
6707868	6708465	597	325.0	224.6
6708503	6708687	184	189.5	178.5
6708722	6708876	154	20.2	188.4
6708893	6709048	155	9.3	182.8
6709102	6709296	194	479.2	207.6
6709319	6709522	203	530.4	193.8
6709584	6709883	299	974.4	238.9
6709922	6710109	187	714.6	196.0
6710162	6710410	248	522.4	537.9
6710431	6710628	197	494.1	506.6
6710668	6710841	173	568.3	614.0
6710866	6711066	200	576.1	645.0
6711148	6711460	312	253.7	263.2
6711487	6711670	183	165.5	257.2
6711712	6711845	133	121.2	398.6
6711862	6711997	135	103.3	384.4
6712015	6712228	213	94.1	353.3
6712247	6712414	167	87.3	375.1
6712442	6712610	168	117.8	425.3
6712859	6712995	136	131.6	448.4
6713020	6713203	183	119.0	327.0
6713216	6713625	409	125.5	294.4
6713649	6714142	493	119.5	362.6
6714202	6714382	180	552.3	379.0
