start_ms	end_ms	length_ms	x	y
12957657	12958096	439	547.8	410.6
12958117	12958507	390	512.2	418.3
12958541	12958840	299	531.0	412.9
12958855	12960118	1263	517.9	404.0
12960154	12960433	279	423.3	420.2
12960446	12960689	243	427.7	451.8
12960744	12961181	437	203.7	380.5
12961256	12961735	479	877.8	215.0
12961802	12962033	231	828.1	485.3
12962075	12962393	318	622.6	550.2
12962416	12963129	713	663.0	533.0
12963171	12963389	218	620.5	441.8
12963644	12965098	1454	261.4	284.6
12965271	12965330	59	189.2	281.8
12965348	12965821	473	199.7	255.3
12965845	12966040	195	139.2	328.2
12966051	12966754	703	142.6	296.4
