start_ms	end_ms	length_ms	x	y
1310350	1310987	637	484.6	408.9
1311021	1311168	147	520.0	384.1
1311623	1312490	867	500.8	394.8
1313088	1313215	127	511.9	381.7
1313250	1313369	119	414.1	361.9
1313425	1313602	177	698.1	280.7
1313627	1313760	133	800.7	269.9
1313792	1314348	556	863.0	266.8
1314427	1314485	58	415.2	412.1
1314535	1314675	140	144.0	475.2
1314724	1314973	249	117.6	386.2
1315028	1315151	123	348.6	303.0
1315182	1315493	311	385.9	285.2
1315514	1315817	303	400.2	279.3
1315876	1316075	199	696.4	274.3
1316097	1316416	319	721.3	263.1
1316474	1316817	343	403.0	293.7
1316863	1317157	294	447.3	477.8
1317182	1317349	167	451.2	527.0
1317409	1317772	363	280.3	431.1
1317809	1317977	168	371.6	401.6
1318030	1318398	368	392.8	283.0
1318449	1318542	93	165.7	413.5
1318596	1318675	79	157.2	656.4
1318713	1319016	303	137.0	519.7
1319048	1319375	327	116.1	536.2
1320081	1320314	233	118.0	545.9
