start_ms	end_ms	length_ms	x	y
3595145	3595502	357	448.3	441.7
3595529	3597083	1554	484.7	366.2
3597131	3597269	138	253.5	376.6
3597319	3597399	80	599.0	218.6
3597523	3597667	144	609.9	170.1
3597711	3598241	530	831.4	337.0
3598289	3598549	260	689.1	284.6
3598590	3598771	181	596.3	180.2
3598933	3599172	239	585.4	181.8
3599224	3599809	585	246.3	371.1
3599869	3600066	197	640.2	340.0
3600104	3600247	143	778.6	356.7
3600410	3600582	172	672.4	276.3
3600623	3601115	492	602.2	172.5
3601173	3601441	268	232.0	366.3
3601471	3601656	185	242.8	302.4
3601711	3601880	169	642.3	232.8
3601920	3602230	310	778.9	328.5
3602276	3602415	139	485.4	216.8
3602473	3602748	275	174.7	594.1
3602766	3603725	959	139.2	583.4
