start_ms	end_ms	length_ms	x	y
903889	904128	239	545.6	376.0
904144	904384	240	524.7	381.5
904509	904816	307	519.7	364.9
904957	905300	343	517.5	374.4
905444	905976	532	518.7	378.2
906105	907108	1003	507.7	379.3
907238	907804	566	500.4	390.7
907846	908007	161	362.6	423.8
908034	908266	232	331.6	426.9
908291	908550	259	365.2	386.4
908561	908636	75	354.5	368.3
908693	908823	130	671.4	472.9
908841	908999	158	686.0	480.7
909054	909138	84	925.4	671.8
909168	909334	166	1029.8	778.8
909356	909541	185	1000.2	787.2
909557	909748	191	989.4	785.1
909768	909849	81	1031.3	795.3
909873	910030	157	1083.6	816.3
910163	910236	73	746.5	238.3
910369	910535	166	973.7	752.9
910556	910955	399	983.3	781.7
910972	911183	211	1015.6	787.9
911248	911673	425	735.7	285.7
911704	911809	105	820.0	312.8
911895	912005	110	16.5	224.5
912038	912472	434	-38.3	241.2
912499	912683	184	5.5	225.8
912723	912828	105	98.7	329.6
912939	913030	91	173.9	286.1
913093	913285	192	544.3	133.1
913326	913505	179	661.6	147.5
913536	913618	82	565.0	145.1
913666	913788	122	378.8	133.1
913812	914012	200	327.8	134.7
914061	914316	255	535.8	130.8
914390	914520	130	159.7	693.4
914659	914774	115	82.2	661.9
914800	914969	169	86.9	632.0
914992	915340	348	76.4	640.7
915349	915390	41	73.2	632.2
915426	915607	181	93.0	549.9
915620	915771	151	76.4	560.8
915796	915952	156	86.7	500.4
915975	916111	136	133.1	476.8
916145	916293	148	82.9	486.7
916421	916838	417	60.8	483.4
916865	917007	142	141.9	478.2
917046	917238	192	68.6	487.1
917356	917532	176	482.8	391.0
