start_ms	end_ms	length_ms	x	y
1127361	1128105	744	478.6	348.8
1128126	1129036	910	490.9	371.2
1129058	1129285	227	473.9	324.7
1129305	1129745	440	495.0	360.1
1129761	1129895	134	483.5	340.5
1129925	1130157	232	620.5	317.3
1130192	1130462	270	461.1	319.9
1130537	1130921	384	71.6	488.5
1130932	1131044	112	74.2	460.1
1131099	1131318	219	630.0	349.5
1131335	1131833	498	617.9	318.0
1131871	1132049	178	591.7	507.3
1132099	1132423	324	1002.9	241.8
1132457	1132925	468	1006.7	327.8
1132958	1133003	45	1085.8	432.7
1133085	1133285	200	252.3	344.3
1133308	1133711	403	220.8	331.2
1133765	1134043	278	651.3	281.8
1134123	1134333	210	763.3	249.6
1134373	1134875	502	794.8	293.4
1134933	1135116	183	444.7	201.8
1135161	1135300	139	656.7	184.8
1135357	1135885	528	144.2	438.5
1135955	1136341	386	147.7	636.5
1136383	1136677	294	140.6	424.0
1136705	1137198	493	107.5	365.9
1137366	1137530	164	119.8	441.1
1137561	1137739	178	99.8	353.3
1137782	1137953	171	171.1	191.1
1137987	1138395	408	77.5	370.4
1138468	1138778	310	527.2	393.9
