start_ms	end_ms	length_ms	x	y
1221982	1222717	735	523.9	407.3
1222891	1223114	223	518.9	401.4
1223132	1223440	308	527.4	392.0
1223450	1224104	654	517.9	392.7
1224122	1224589	467	514.0	374.6
1224612	1224853	241	467.7	319.4
1224891	1225042	151	456.9	318.8
1225088	1225416	328	668.8	386.5
1225461	1225730	269	475.9	347.0
1225789	1225955	166	1073.8	332.9
1225974	1226507	533	1096.3	321.1
1226522	1227032	510	1094.9	319.9
1227073	1227175	102	1177.6	301.2
1227255	1227423	168	239.8	472.2
1227460	1227797	337	122.8	542.4
1227880	1227984	104	608.3	500.5
1228039	1228268	229	1063.6	336.4
1228344	1228687	343	484.5	356.3
1228714	1229455	741	463.2	326.6
1229515	1229776	261	1091.4	338.5
1229846	1229957	111	358.2	364.7
1230131	1230632	501	138.3	433.7
1230698	1230894	196	488.9	153.0
1230939	1231228	289	646.3	147.0
1231282	1232132	850	134.4	390.4
1232157	1232570	413	105.6	352.2
1232585	1233003	418	100.2	351.7
1233030	1233316	286	147.1	416.9
1233334	1233631	297	108.4	415.7
1233657	1233958	301	159.4	418.5
1234014	1234768	754	100.1	430.0
1234782	1234834	52	98.0	432.1
1235039	1235643	604	112.4	420.5
1235706	1235869	163	529.0	405.7
1236002	1236146	144	504.9	368.6
