start_ms	end_ms	length_ms	x	y
4539581	4540335	754	520.0	387.4
4540585	4540715	130	485.0	408.6
4540730	4541233	503	516.1	391.0
4541284	4541444	160	412.7	209.2
4541466	4541669	203	417.0	195.6
4541712	4542028	316	345.0	330.1
4542050	4542233	183	341.2	330.7
4542271	4542574	303	425.4	193.0
4542587	4542664	77	427.4	206.6
4542802	4542963	161	437.9	239.4
4542985	4543309	324	426.1	199.8
4543348	4543881	533	319.7	293.2
4543920	4544110	190	416.9	234.0
4544122	4544658	536	430.1	229.9
4544733	4544962	229	749.7	620.4
4545010	4545190	180	945.1	708.3
4545251	4545540	289	952.8	155.2
4545587	4545803	216	811.4	247.9
4545871	4546066	195	177.3	386.7
4546118	4546437	319	66.3	170.1
4546485	4546695	210	249.1	189.8
4546723	4546936	213	170.2	189.9
4546960	4547187	227	111.6	175.0
4547239	4547765	526	56.0	226.3
4547838	4548046	208	542.9	123.2
4548081	4548346	265	492.9	106.6
4548537	4548706	169	539.7	384.3
