start_ms	end_ms	length_ms	x	y
883805	884052	247	456.7	404.8
884089	884248	159	504.0	405.4
884275	884743	468	487.1	410.6
884751	885740	989	482.2	395.7
885940	887410	1470	490.9	392.6
887476	887586	110	385.3	352.6
887620	887774	154	273.2	349.6
887844	888086	242	749.1	323.2
888125	888458	333	857.4	314.7
888493	888744	251	699.7	325.2
888780	888989	209	513.0	430.5
889026	889189	163	315.2	474.3
889264	889398	134	-96.3	356.0
889429	889494	65	-100.3	353.8
889563	889865	302	284.4	355.2
889910	890073	163	388.5	483.5
890096	890233	137	352.5	474.4
890535	890696	161	868.4	405.1
890735	891088	353	903.8	417.5
891134	891328	194	815.2	303.3
891379	891690	311	697.3	303.8
891753	891974	221	514.0	453.8
892317	892422	105	509.6	442.1
892455	892573	118	477.7	423.9
892657	892859	202	132.0	388.8
892898	892993	95	98.2	442.4
893072	893150	78	148.3	517.9
893196	893417	221	113.7	495.1
893463	893709	246	62.0	497.4
893721	895234	1513	52.8	470.7
895427	895555	128	522.7	399.4
895590	895642	52	466.9	409.2
