start_ms	end_ms	length_ms	x	y
6089852	6090520	668	500.6	402.8
6090841	6091031	190	552.5	389.9
6091045	6091229	184	534.8	397.8
6091525	6091665	140	508.3	377.4
6092244	6092330	86	561.1	391.3
6092350	6092883	533	535.9	397.2
6093090	6094862	1772	542.5	383.1
6094881	6095102	221	560.2	356.0
6095124	6095323	199	549.7	285.3
6095369	6095558	189	861.5	317.0
6095604	6095865	261	569.4	388.8
6096131	6096306	175	580.6	364.8
6096349	6096504	155	336.1	347.1
6096548	6096764	216	513.3	367.6
6097035	6097229	194	522.2	365.2
6097274	6097518	244	531.1	566.2
6097576	6097827	251	593.0	287.5
6097852	6098045	193	546.0	247.6
6098099	6098247	148	764.7	314.5
6098292	6099723	1431	466.0	392.8
6099769	6099905	136	148.4	602.6
6099938	6100107	169	185.4	702.6
6100141	6100450	309	128.7	705.1
6100462	6100879	417	147.7	693.6
6100934	6101049	115	514.3	437.8
6101069	6101288	219	512.6	392.8
