start_ms	end_ms	length_ms	x	y
1208241	1208541	300	474.5	399.9
1208552	1210012	1460	490.8	400.7
1210061	1210111	50	414.8	295.6
1210151	1210389	238	268.1	284.6
1210412	1210513	101	223.4	292.8
1210571	1210825	254	545.2	285.3
1210876	1211099	223	763.7	251.2
1211124	1211202	78	813.0	240.5
1211247	1211591	344	879.4	423.0
1211655	1211859	204	545.0	659.6
1211884	1212184	300	496.3	662.7
1212197	1212319	122	479.2	662.6
1212345	1212523	178	541.0	657.6
1212567	1212913	346	576.2	452.4
1212986	1213131	145	236.0	87.7
1213161	1213427	266	145.3	137.8
1213470	1213646	176	369.0	132.5
1213673	1213798	125	449.1	127.2
1213970	1214074	104	577.5	189.4
1214111	1214313	202	737.7	180.5
1214336	1214540	204	793.8	173.1
1214571	1214663	92	836.0	174.5
1214705	1214871	166	775.3	347.9
1214890	1215174	284	764.2	304.5
1215250	1215317	67	170.7	491.4
1215526	1215841	315	104.8	398.1
1215884	1215952	68	150.8	239.8
1215968	1216121	153	166.6	217.9
1216171	1216381	210	99.8	377.2
1216400	1216973	573	97.7	392.9
1217200	1217352	152	140.2	440.4
1217368	1217835	467	145.7	445.3
1218209	1218655	446	525.5	391.7
1219026	1219127	101	570.3	589.6
1219362	1219463	101	266.0	938.4
1219723	1219959	236	485.8	363.8
1219978	1220239	261	509.8	374.2
1220267	1220331	64	432.5	392.1
1220757	1221133	376	503.0	375.5
1221162	1221798	636	421.9	396.1
1221825	1221987	162	486.2	389.2
1222011	1222393	382	533.5	381.0
1222423	1222573	150	440.5	411.0
1223688	1223993	305	447.1	437.2
1224014	1224198	184	425.1	415.6
