start_ms	end_ms	length_ms	x	y
824419	824772	353	444.6	380.2
824793	825131	338	476.8	378.0
825147	825630	483	486.9	365.5
825815	826326	511	481.2	356.0
826345	828096	1751	489.8	359.6
828119	828285	166	508.4	396.2
828310	828534	224	455.1	420.5
828598	828772	174	64.0	456.7
828805	829008	203	-49.3	469.4
829079	829478	399	470.0	436.5
829523	829718	195	548.1	425.8
829941	830131	190	690.0	221.5
830189	830488	299	507.6	432.1
830511	830820	309	555.3	415.3
830852	831051	199	463.2	439.7
831067	831249	182	450.1	447.2
831314	831447	133	112.4	393.5
831473	831646	173	33.6	456.0
831821	831963	142	-54.3	482.9
832031	832402	371	472.6	439.4
832428	832859	431	545.4	435.5
832870	833200	330	558.2	420.6
833255	833393	138	196.2	408.5
833432	833593	161	81.4	365.2
833608	833914	306	74.5	316.0
833942	834908	966	75.5	386.0
834952	835135	183	436.3	381.0
