start_ms	end_ms	length_ms	x	y
773787	774417	630	502.1	376.8
774430	775079	649	482.7	385.4
775265	775659	394	506.8	338.3
775689	776045	356	443.1	257.7
776088	776281	193	585.4	478.8
776310	776445	135	708.8	502.2
776490	776734	244	896.6	319.3
776789	776961	172	435.0	233.5
777008	777351	343	140.3	297.2
777396	777619	223	498.9	431.3
777658	777873	215	669.8	511.2
777926	778198	272	902.1	348.7
778262	778499	237	346.0	232.9
778545	778934	389	104.0	274.6
778963	779116	153	143.8	350.6
779166	779589	423	554.8	393.5
779904	780805	901	489.1	358.2
780856	781011	155	143.7	327.7
781037	782796	1759	65.2	333.6
782843	783127	284	478.7	348.7
783471	784600	1129	464.7	383.6
784613	785080	467	500.7	380.2
