start_ms	end_ms	length_ms	x	y
1097021	1097694	673	524.3	407.4
1097900	1098252	352	512.5	402.0
1098270	1099291	1021	522.4	402.3
1099332	1099592	260	618.2	251.2
1099639	1099826	187	669.0	458.5
1099851	1100366	515	612.1	462.3
1100389	1100559	170	620.3	523.2
1100596	1100759	163	714.1	456.9
1100783	1100952	169	718.8	431.0
1100991	1101229	238	939.2	386.9
1101246	1101649	403	917.1	383.1
1101673	1102197	524	958.3	400.7
1102219	1102780	561	912.2	391.8
1102811	1103257	446	884.4	387.9
1103277	1103455	178	884.3	380.9
1103482	1103679	197	876.9	263.6
1103688	1103809	121	882.1	278.5
1103885	1104011	126	203.7	276.8
1104031	1104388	357	185.1	303.9
1104417	1104536	119	96.7	395.8
1104591	1104748	157	314.7	286.8
1104804	1104961	157	517.8	146.5
1105005	1105156	151	379.7	162.7
1105220	1105689	469	657.3	142.5
1105761	1105981	220	168.3	262.8
1106010	1106357	347	154.6	423.7
1106380	1106659	279	117.3	365.0
1106682	1107161	479	124.6	423.1
1107169	1107318	149	104.6	419.1
1107596	1107747	151	132.8	371.9
1107760	1108287	527	119.0	354.2
1108312	1108539	227	121.6	415.2
1108606	1108799	193	492.3	410.5
