start_ms	end_ms	length_ms	x	y
8960982	8961272	290	481.6	358.1
8961294	8961468	174	510.9	370.6
8961629	8961966	337	498.6	345.4
8962151	8962287	136	482.1	356.9
8962307	8962533	226	510.4	367.2
8962927	8963107	180	488.7	385.6
8963128	8963788	660	504.7	350.8
8964010	8964206	196	506.8	373.3
8964219	8964816	597	514.0	363.4
8964830	8965078	248	503.9	362.7
8965085	8965689	604	510.9	362.5
8965703	8965934	231	492.9	375.6
8966082	8966358	276	128.9	628.0
8966421	8966612	191	654.5	493.5
8966648	8967094	446	603.3	389.0
8967156	8967404	248	879.7	709.8
8967426	8967593	167	915.2	719.2
8967771	8967967	196	605.9	417.7
8967988	8968251	263	591.6	356.4
8968314	8968634	320	293.1	270.1
8968844	8969077	233	523.9	363.6
8969104	8969226	122	587.9	381.9
8969456	8969676	220	625.4	462.2
8969712	8970760	1048	598.6	373.6
8970818	8970869	51	189.6	843.2
8970909	8970960	51	144.0	760.2
8970987	8971163	176	134.0	718.5
8971184	8971388	204	101.6	704.9
8971409	8971662	253	89.8	701.9
8971758	8971991	233	114.2	684.3
8972152	8972350	198	453.0	386.3
8972373	8972559	186	440.5	376.4
