start_ms	end_ms	length_ms	x	y
1067855	1068096	241	489.7	317.9
1068260	1068419	159	524.8	375.2
1068439	1069125	686	501.0	366.6
1069145	1069810	665	506.7	356.9
1069859	1070008	149	326.8	280.5
1070064	1070203	139	586.6	218.2
1070279	1070563	284	169.5	243.9
1070639	1070807	168	418.7	500.9
1070859	1071002	143	678.0	442.8
1071060	1071221	161	469.1	578.4
1071291	1071448	157	688.2	233.4
1071489	1071648	159	764.2	176.4
1071708	1071879	171	607.2	111.0
1071945	1072128	183	953.7	216.4
1072170	1072293	123	878.7	290.2
1072346	1072482	136	1043.9	600.1
1072569	1072864	295	228.8	298.8
1072906	1073298	392	396.1	391.9
1073353	1073558	205	133.5	254.1
1073605	1073807	202	60.5	184.7
1073901	1073955	54	-76.7	217.4
1074025	1074392	367	291.0	166.7
1074443	1074934	491	496.7	145.7
1074996	1075068	72	337.5	626.4
1075123	1075263	140	202.4	677.3
1075302	1075521	219	137.9	690.7
1075555	1075780	225	103.8	699.1
1075854	1076414	560	86.5	688.1
1076468	1076592	124	356.1	404.6
